Source,Target,Type
1,2,contains
2,3,contains
2,4,contains
2,5,contains
2,6,contains
2,7,contains
2,8,contains
2,9,contains
1,10,contains
1,10,external_import
1,11,contains
1,11,external_import
1,12,contains
1,12,external_import
1,13,contains
1,13,external_import
1,14,contains
1,14,external_import
1,34,imports
15,16,contains
15,17,contains
17,18,contains
17,19,contains
17,20,contains
17,21,contains
17,22,contains
17,23,contains
17,24,contains
17,25,contains
17,26,contains
17,27,contains
15,28,contains
15,28,external_import
15,29,contains
15,29,external_import
15,30,contains
15,30,external_import
15,31,contains
15,31,external_import
15,32,contains
15,32,external_import
15,33,contains
15,33,external_import
34,159,imports
34,35,contains
34,35,external_import
36,37,contains
36,38,contains
36,39,contains
36,40,contains
36,41,contains
36,42,contains
36,43,contains
36,44,contains
36,45,contains
36,46,contains
46,47,contains
46,48,contains
36,49,contains
49,50,contains
49,51,contains
49,52,contains
36,53,contains
53,54,contains
53,55,contains
36,56,contains
56,57,contains
56,58,contains
56,59,contains
36,60,contains
60,61,contains
60,62,contains
36,63,contains
63,64,contains
63,65,contains
36,66,contains
66,67,contains
66,68,contains
36,69,contains
69,70,contains
69,71,contains
69,72,contains
69,73,contains
69,74,contains
69,75,contains
69,76,contains
36,77,contains
36,77,external_import
36,78,contains
36,78,external_import
36,79,contains
36,79,external_import
36,80,contains
36,80,external_import
36,81,contains
36,81,external_import
82,83,contains
83,84,contains
83,85,contains
83,86,contains
83,87,contains
83,88,contains
82,89,contains
82,89,external_import
82,90,contains
82,90,external_import
82,91,contains
82,91,external_import
82,92,contains
82,92,external_import
82,93,contains
82,93,external_import
82,94,contains
82,94,external_import
82,95,contains
82,95,external_import
82,96,contains
82,96,external_import
82,97,contains
82,97,external_import
82,98,contains
82,98,external_import
82,99,contains
82,99,external_import
82,100,contains
82,100,external_import
82,101,contains
82,101,external_import
82,34,imports
82,34,imports
102,103,contains
102,104,contains
102,105,contains
102,106,contains
106,107,contains
106,108,contains
106,109,contains
106,110,contains
102,111,contains
111,112,contains
102,113,contains
102,113,external_import
102,114,contains
102,114,external_import
102,115,contains
102,115,external_import
102,116,contains
102,116,external_import
102,117,contains
102,117,external_import
102,118,contains
102,118,external_import
102,119,contains
102,119,external_import
120,121,contains
120,122,contains
122,123,contains
122,124,contains
120,125,contains
120,126,contains
120,127,contains
127,128,contains
127,129,contains
127,130,contains
127,131,contains
127,132,contains
127,133,contains
127,134,contains
127,135,contains
120,136,contains
136,137,contains
136,138,contains
136,139,contains
136,140,contains
120,141,contains
120,141,external_import
120,142,contains
120,142,external_import
120,143,contains
120,143,external_import
120,144,contains
120,144,external_import
120,145,contains
120,145,external_import
120,146,contains
120,146,external_import
120,147,contains
120,147,external_import
148,149,contains
149,150,contains
149,151,contains
149,152,contains
148,153,contains
148,153,external_import
148,154,contains
148,154,external_import
148,155,contains
148,155,external_import
148,156,contains
148,156,external_import
148,157,contains
148,157,external_import
148,158,contains
148,158,external_import
148,34,imports
148,34,imports
159,160,contains
159,161,contains
159,162,contains
159,163,contains
159,164,contains
159,165,contains
159,166,contains
159,167,contains
159,168,contains
159,169,contains
169,170,contains
169,171,contains
169,172,contains
169,173,contains
169,174,contains
169,175,contains
169,176,contains
169,177,contains
169,178,contains
159,179,contains
159,179,external_import
159,180,contains
159,180,external_import
159,181,contains
159,181,external_import
159,182,contains
159,182,external_import
159,183,contains
159,183,external_import
159,184,contains
159,184,external_import
159,185,contains
159,185,external_import
159,186,contains
159,186,external_import
